"MMSI","TSTAMP","LATITUDE","LONGITUDE","COG","SOG","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","TYPE","A","B","C","D","DRAUGHT","DEST","ETA"
563025790,1500319941,782315,62237040,2111,0,511,0,0,"MARIGOLD","",70,23,7,5,5,0,"",
413469850,1500321466,14010960,70031328,2637,0,63,5,0,"HUIHAILONG388","",79,6,62,10,6,35,"ST+GUAMGAO",493760
413376770,1500321361,13837630,68098349,673,0,325,5,0,"JIAN QIAO 111","BIAQ3",80,114,19,14,5,75,"GUANG ZHOU",494144
205437990,1500321564,30742879,2619802,2574,65,511,0,0,"SAKETA","OT4379",79,81,0,4,5,20,"IZEGEM",406680
338206233,1500321348,17731779,-57016941,1792,0,511,0,0,"SERENITY","",37,10,5,2,4,0,"",
235035255,1500321442,30211091,-2142797,1406,0,511,0,0,"WILD GOOSE","MMGW7",37,7,0,2,0,0,"",0
413447570,1500321337,17955202,73360759,2283,0,511,1,0,"YONGFENGDA1","BKPF6",80,80,17,6,9,38,"NING BO",485952
244153051,1500321127,30804543,2296775,2722,0,511,0,0,"MARGAUX","PG9142",36,7,6,1,3,0,"",0
311045200,1500321567,33490253,9533712,1187,92,511,5,9051210,"FORTUNA","C6YU2",70,74,13,8,5,56,"KALININGRAD",496512
413249980,1500321568,18824619,72983824,2398,0,134,1,0,"BAO TENG HAI","BSBX",70,120,29,15,6,85,"SHANG HAI",494784
211316150,1500321556,32122035,5927153,3122,0,135,0,0,"REEPERBAHN","DB3812",60,23,6,4,4,0,"",1596
246707000,1500321530,31474885,2736824,0,0,511,0,0,"NAUTICAL SERVER","PCBD",34,0,0,0,0,0,"",0
244050197,1500321569,31451376,2887669,3528,25,166,8,9780067,"SVITZER TYPHOON","PCYW",52,12,12,5,5,57,"AMSTERDAM",166464
